Do you live in the Midwest or the South?,"Do you live in the Midwest, the Great Plains, or the West?","Do you live in the Midwest, Appalachia, or the South?",What is your party affiliation/registration?,What is your age range?,"For statistical purposes only, can you please tell me your ethnicity?",What is the highest level of education you have attained?,Can you please tell me your gender?,ZIP,ZIP3,STATE,weights
#NULL!,1,#NULL!,4,3,2,1,2,57104,571,4,0.54
#NULL!,1,#NULL!,4,3,2,1,2,57785,577,4,0.54
#NULL!,1,#NULL!,4,3,2,4,2,57053,570,4,0.59
#NULL!,2,#NULL!,4,3,2,4,2,57105,571,4,0.59
#NULL!,2,#NULL!,4,3,2,4,2,57252,572,4,0.59
#NULL!,1,#NULL!,4,3,5,1,2,57103,571,4,0.65
#NULL!,1,#NULL!,4,3,5,1,2,57104,571,4,0.65
#NULL!,2,#NULL!,4,3,5,1,2,57701,577,4,0.65
#NULL!,1,#NULL!,4,3,2,1,2,57062,570,4,0.68
#NULL!,1,#NULL!,4,3,2,1,2,57201,572,4,0.68
#NULL!,1,#NULL!,4,3,2,1,2,57438,574,4,0.68
#NULL!,1,#NULL!,4,3,2,1,2,57701,577,4,0.68
#NULL!,1,#NULL!,4,3,2,1,2,57702,577,4,0.68
#NULL!,1,#NULL!,4,3,2,1,2,57703,577,4,0.68
#NULL!,1,#NULL!,4,3,1,1,2,57103,571,4,0.68
#NULL!,2,#NULL!,4,3,2,5,2,57006,570,4,0.69
#NULL!,1,#NULL!,4,3,2,5,2,57110,571,4,0.69
#NULL!,1,#NULL!,4,3,2,4,2,57064,570,4,0.69
#NULL!,1,#NULL!,4,3,2,4,2,57066,570,4,0.69
#NULL!,1,#NULL!,4,3,2,4,2,57066,570,4,0.69
#NULL!,1,#NULL!,4,3,2,4,2,57105,571,4,0.69
#NULL!,2,#NULL!,4,3,2,4,2,57106,571,4,0.69
#NULL!,1,#NULL!,4,3,2,3,2,57401,574,4,0.76
#NULL!,1,#NULL!,4,3,2,3,2,57718,577,4,0.76
#NULL!,1,#NULL!,4,3,2,3,2,57718,577,4,0.76
#NULL!,1,#NULL!,4,3,2,2,2,57401,574,4,0.75
#NULL!,1,#NULL!,4,3,4,4,2,57069,570,4,0.82
#NULL!,1,#NULL!,4,3,2,4,2,57350,573,4,0.87
#NULL!,1,#NULL!,4,3,2,3,2,57066,570,4,0.89
#NULL!,1,#NULL!,4,3,2,3,2,57066,570,4,0.89
#NULL!,1,#NULL!,4,3,2,3,2,57104,571,4,0.89
#NULL!,1,#NULL!,4,3,2,3,2,57106,571,4,0.89
#NULL!,1,#NULL!,4,3,2,3,2,57350,573,4,0.89
#NULL!,1,#NULL!,4,3,2,3,2,57555,575,4,0.89
#NULL!,2,#NULL!,4,3,2,3,2,57703,577,4,0.89
#NULL!,2,#NULL!,4,3,5,3,2,57106,571,4,0.89
#NULL!,1,#NULL!,4,3,5,5,2,57032,570,4,0.98
#NULL!,1,#NULL!,4,3,5,5,2,57032,570,4,0.98
#NULL!,2,#NULL!,4,3,1,1,2,57701,577,4,1.01
#NULL!,1,#NULL!,4,3,5,1,2,57104,571,4,1.00
#NULL!,2,#NULL!,4,3,5,1,2,57701,577,4,1.00
#NULL!,1,#NULL!,4,3,2,1,2,57069,570,4,1.06
#NULL!,1,#NULL!,4,3,5,3,2,57039,570,4,1.08
#NULL!,2,#NULL!,4,3,5,3,2,57106,571,4,1.08
#NULL!,1,#NULL!,4,3,2,1,1,57025,570,4,1.10
#NULL!,1,#NULL!,4,3,2,1,1,57401,574,4,1.10
#NULL!,1,#NULL!,4,3,2,3,2,57718,577,4,1.12
#NULL!,1,#NULL!,4,3,2,3,2,57785,577,4,1.12
#NULL!,1,#NULL!,4,3,3,4,2,57102,571,4,1.11
#NULL!,1,#NULL!,4,3,2,2,2,57342,573,4,1.18
#NULL!,1,#NULL!,4,3,5,1,1,57401,574,4,1.35
#NULL!,2,#NULL!,4,3,5,1,1,57701,577,4,1.35
#NULL!,2,#NULL!,4,3,2,4,2,57106,571,4,1.36
#NULL!,1,#NULL!,4,3,2,4,2,57703,577,4,1.36
#NULL!,1,#NULL!,4,3,2,4,2,57703,577,4,1.36
#NULL!,2,#NULL!,4,3,2,4,1,57103,571,4,1.41
#NULL!,2,#NULL!,4,3,2,4,1,57103,571,4,1.41
#NULL!,1,#NULL!,4,3,2,4,1,57105,571,4,1.41
#NULL!,2,#NULL!,4,3,5,3,1,57555,575,4,1.51
#NULL!,2,#NULL!,4,3,5,3,1,57555,575,4,1.51
#NULL!,1,#NULL!,4,3,3,3,2,57103,571,4,1.43
#NULL!,3,#NULL!,4,3,2,5,2,57701,577,4,1.60
#NULL!,1,#NULL!,4,3,1,3,2,57201,572,4,1.65
#NULL!,2,#NULL!,4,3,2,5,1,57006,570,4,1.66
#NULL!,1,#NULL!,4,3,2,4,1,57105,571,4,1.78
#NULL!,1,#NULL!,4,3,2,4,1,57105,571,4,1.78
#NULL!,1,#NULL!,4,3,2,4,1,57105,571,4,1.78
#NULL!,1,#NULL!,4,3,2,3,2,57078,570,4,1.76
#NULL!,1,#NULL!,4,3,2,3,2,57105,571,4,1.76
#NULL!,1,#NULL!,4,3,2,3,2,57430,574,4,1.76
#NULL!,2,#NULL!,4,3,2,3,1,57703,577,4,1.83
#NULL!,2,#NULL!,4,3,2,5,1,57106,571,4,2.09
#NULL!,2,#NULL!,4,3,2,1,1,57104,571,4,2.18
#NULL!,1,#NULL!,4,3,2,1,1,57350,573,4,2.18
#NULL!,1,#NULL!,4,3,2,1,1,57350,573,4,2.18
#NULL!,1,#NULL!,4,3,2,1,1,57350,573,4,2.18
#NULL!,1,#NULL!,4,3,2,1,1,57350,573,4,2.18
#NULL!,1,#NULL!,4,3,1,3,1,57104,571,4,2.43
#NULL!,2,#NULL!,4,3,5,4,1,57601,576,4,2.66
#NULL!,3,#NULL!,4,3,2,3,1,57366,573,4,3.62
#NULL!,1,#NULL!,4,2,2,4,3,57469,574,4,1.10
#NULL!,1,#NULL!,4,2,2,1,2,57006,570,4,0.92
#NULL!,1,#NULL!,4,2,2,1,2,57401,574,4,0.92
#NULL!,1,#NULL!,4,2,2,1,2,57706,577,4,0.92
#NULL!,1,#NULL!,4,2,2,1,2,57706,577,4,0.92
#NULL!,1,#NULL!,4,2,2,1,2,57719,577,4,0.92
#NULL!,1,#NULL!,4,2,1,1,2,57110,571,4,0.93
#NULL!,2,#NULL!,4,2,2,4,2,57532,575,4,0.94
#NULL!,1,#NULL!,4,2,2,3,2,57783,577,4,1.04
#NULL!,2,#NULL!,4,2,2,2,2,57785,577,4,1.03
#NULL!,2,#NULL!,4,2,2,3,3,57380,573,4,1.43
#NULL!,2,#NULL!,4,2,2,3,2,57064,570,4,1.22
#NULL!,2,#NULL!,4,2,2,1,1,57356,573,4,1.32
#NULL!,2,#NULL!,4,2,2,1,1,57401,574,4,1.32
#NULL!,2,#NULL!,4,2,5,1,2,57106,571,4,1.37
#NULL!,2,#NULL!,4,2,2,2,1,57701,577,4,1.47
#NULL!,1,#NULL!,4,2,2,1,2,57201,572,4,1.45
#NULL!,1,#NULL!,4,2,2,1,2,57201,572,4,1.45
#NULL!,1,#NULL!,4,2,5,3,2,57555,575,4,1.48
#NULL!,1,#NULL!,4,2,2,3,2,57101,571,4,1.53
#NULL!,2,#NULL!,4,2,2,3,2,57252,572,4,1.53
#NULL!,1,#NULL!,4,2,2,3,2,57706,577,4,1.53
#NULL!,1,#NULL!,4,2,1,2,2,57783,577,4,1.51
#NULL!,2,#NULL!,4,2,2,4,1,57039,570,4,1.69
#NULL!,2,#NULL!,4,2,2,4,1,57039,570,4,1.69
#NULL!,1,#NULL!,4,2,2,2,2,57785,577,4,1.61
#NULL!,2,#NULL!,4,2,5,3,1,57701,577,4,1.75
#NULL!,1,#NULL!,4,2,2,1,1,57006,570,4,2.07
#NULL!,2,#NULL!,4,2,5,4,1,57468,574,4,2.53
#NULL!,1,#NULL!,4,1,2,1,2,57249,572,4,0.44
#NULL!,2,#NULL!,4,1,5,1,2,57501,575,4,0.52
#NULL!,1,#NULL!,4,1,5,2,2,57427,574,4,0.58
#NULL!,3,#NULL!,4,1,5,2,2,57701,577,4,0.58
#NULL!,1,#NULL!,4,1,2,1,2,57103,571,4,0.65
